itemName,itemKind,category,equipLevel,craftType,detailUrl,baseValueRows,baseValueFlat,baseValueRawLines
"きせきのつるぎ","武器","片手剣","50","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kisekinotsurugi.html","[[""235-243""],[""145-153""],[""180-184""]]","[""235-243"",""145-153"",""180-184""]","[""235-243"",""145-153"",""180-184"",""きせきのつるぎの特性"",""メーター減少（戻り）""]"
"プラチナソード","武器","片手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_purachinaso-do.html","[[""120-128""],[""170-184""],[""100-104""]]","[""120-128"",""170-184"",""100-104""]","[""120-128"",""170-184"",""100-104"",""プラチナソードの特性"",""たたき変化（倍半）""]"
"まけんしのレイピア","武器","片手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_makenshinoreipia.html","[[""126-137""],[""134-140""],[""160-174""]]","[""126-137"",""134-140"",""160-174""]","[""126-137"",""134-140"",""160-174"",""まけんしのレイピアの特性"",""メーター減少（戻り）""]"
"ゾンビキラー","武器","片手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_zombikira-.html","[[""150-154""],[""190-210""],[""110-116""]]","[""150-154"",""190-210"",""110-116""]","[""150-154"",""190-210"",""110-116"",""ゾンビキラーの特性"",""メーター減少（戻り）""]"
"ドラゴンキラー","武器","片手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_doragonkira-.html","[[""200-206""],[""120-130""],[""160-164""]]","[""200-206"",""120-130"",""160-164""]","[""200-206"",""120-130"",""160-164"",""ドラゴンキラーの特性"",""メーター減少（戻り）""]"
"戦士の剣","武器","片手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_senshinoken.html","[[""100-108""],[""130-134""],[""74-90""]]","[""100-108"",""130-134"",""74-90""]","[""100-108"",""130-134"",""74-90"",""戦士の剣の特性"",""たたき変化（倍半）""]"
"はじゃのつるぎ","武器","片手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_hajanotsurugi.html","[[""80-90""],[""116-122""],[""134-150""]]","[""80-90"",""116-122"",""134-150""]","[""80-90"",""116-122"",""134-150"",""はじゃのつるぎの特性"",""たたき変化（倍半）""]"
"はやぶさの剣","武器","片手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_hayabusanoken.html","[[""80-84""],[""160-168""],[""120-130""]]","[""80-84"",""160-168"",""120-130""]","[""80-84"",""160-168"",""120-130"",""はやぶさの剣の特性"",""たたき変化（倍半）""]"
"はがねのつるぎ","武器","片手剣","28","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_haganenotsurugi.html","[[""74-90""],[""80-85""],[""85-94""]]","[""74-90"",""80-85"",""85-94""]","[""74-90"",""80-85"",""85-94"",""はがねのつるぎの特性""]"
"ウェスタンレイピア","武器","片手剣","28","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_wesutanreipia.html","[[""80-84""],[""80-92""],[""110-125""]]","[""80-84"",""80-92"",""110-125""]","[""80-84"",""80-92"",""110-125"",""ウェスタンレイピアの特性"",""たたき変化（倍半）""]"
"ぎんのレイピア","武器","片手剣","21","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_ginnoreipia.html","[[""50-55""],[""50-60""],[""80-95""]]","[""50-55"",""50-60"",""80-95""]","[""50-55"",""50-60"",""80-95"",""ぎんのレイピアの特性""]"
"バスタードソード","武器","片手剣","21","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_basuta-doso-do.html","[[""90-95""],[""70-78""],[""50-67""]]","[""90-95"",""70-78"",""50-67""]","[""90-95"",""70-78"",""50-67"",""バスタードソードの特性""]"
"てつのつるぎ","武器","片手剣","14","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_tetsunotsurugi.html","[[""45-55""],[""50-62""],[""40-48""]]","[""45-55"",""50-62"",""40-48""]","[""45-55"",""50-62"",""40-48"",""てつのつるぎの特性""]"
"さんぞくのサーベル","武器","片手剣","14","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_sanzokunosa-beru.html","[[""45-52""],[""65-78""],[""50-60""]]","[""45-52"",""65-78"",""50-60""]","[""45-52"",""65-78"",""50-60"",""さんぞくのサーベルの特性""]"
"せいどうのつるぎ","武器","片手剣","7","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_seidonotsurugi.html","[[""28-40""],[""32-44""],[""40-50""]]","[""28-40"",""32-44"",""40-50""]","[""28-40"",""32-44"",""40-50"",""せいどうのつるぎの特性""]"
"レイピア","武器","片手剣","7","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_reipia.html","[[""30-35""],[""40-50""],[""50-65""]]","[""30-35"",""40-50"",""50-65""]","[""30-35"",""40-50"",""50-65"",""レイピアの特性""]"
"初心者用の片手剣","武器","片手剣","1","","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shoshinshayonokatateken.html","[]","[]","[""初心者用の片手剣の特性""]"
"どうのつるぎ","武器","片手剣","1","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_donotsurugi.html","[[""24-36""],[""28-40""],[""24-36""]]","[""24-36"",""28-40"",""24-36""]","[""24-36"",""28-40"",""24-36"",""どうのつるぎの特性""]"
"ネビュラスブレード","武器","両手剣","132","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_nebyurasubure-do.html","[]","[]","[""ネビュラスブレードの特性""]"
"獅子の大剣","武器","両手剣","130","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shishinotaiken.html","[]","[]","[""獅子の大剣の特性""]"
"クラウドブレイカー","武器","両手剣","128","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kuraudobureika-.html","[]","[]","[""クラウドブレイカーの特性""]"
"紫電の轟剣","武器","両手剣","125","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shidennogoken.html","[]","[]","[""紫電の轟剣の特性""]"
"セーラスブレード","武器","両手剣","120","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_se-rasubure-do.html","[]","[]","[""セーラスブレードの特性""]"
"斬魔の緋大剣","武器","両手剣","118","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_zammanohitaiken.html","[[""120-128"",""145-152""],[""145-152"",""120-128""],[""160-169"",""160-169""],[""110-117"",""110-117""]]","[""120-128"",""145-152"",""145-152"",""120-128"",""160-169"",""160-169"",""110-117"",""110-117""]","[""120-128 145-152"",""145-152 120-128"",""160-169 160-169"",""110-117 110-117"",""斬魔の緋大剣の特性"",""威力会心率上昇（光地金）""]"
"輝天の大剣","武器","両手剣","115","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kitennotaiken.html","[[""100-107"",""130-137""],[""130-137"",""100-107""],[""155-165"",""155-165""],[""90-97"",""90-97""]]","[""100-107"",""130-137"",""130-137"",""100-107"",""155-165"",""155-165"",""90-97"",""90-97""]","[""100-107 130-137"",""130-137 100-107"",""155-165 155-165"",""90-97 90-97"",""輝天の大剣の特性"",""たたき変化（倍半）""]"
"ダインスレイフ","武器","両手剣","110","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_dainsureifu.html","[[""100-108"",""100-108""],[""100-108"",""100-108""],[""150-158"",""150-158""],[""80-87"",""80-87""]]","[""100-108"",""100-108"",""100-108"",""100-108"",""150-158"",""150-158"",""80-87"",""80-87""]","[""100-108 100-108"",""100-108 100-108"",""150-158 150-158"",""80-87 80-87"",""ダインスレイフの特性"",""メーター減少（戻り）""]"
"ベルセルクブレード","武器","両手剣","108","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_beruserukubure-do.html","[]","[]","[""ベルセルクブレードの特性""]"
"業炎の大剣","武器","両手剣","105","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_goennodaiken.html","[[""145-153"",""145-153""],[""115-123"",""115-123""],[""145-153"",""145-153""],[""127-135"",""127-135""]]","[""145-153"",""145-153"",""115-123"",""115-123"",""145-153"",""145-153"",""127-135"",""127-135""]","[""145-153 145-153"",""115-123 115-123"",""145-153 145-153"",""127-135 127-135"",""業炎の大剣の特性""]"
"覇王の大剣","武器","両手剣","100","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_haonotaiken.html","[[""150-158"",""130-138""],[""122-130"",""120-128""],[""160-168"",""134-142""],[""114-122"",""104-112""]]","[""150-158"",""130-138"",""122-130"",""120-128"",""160-168"",""134-142"",""114-122"",""104-112""]","[""150-158 130-138"",""122-130 120-128"",""160-168 134-142"",""114-122 104-112"",""覇王の大剣の特性"",""たたき変化（倍半）""]"
"神域の大剣","武器","両手剣","99","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shinikinotaiken.html","[[""200-210"",""150-156""],[""100-110"",""100-108""],[""170-176"",""124-134""],[""84-92"",""84-92""]]","[""200-210"",""150-156"",""100-110"",""100-108"",""170-176"",""124-134"",""84-92"",""84-92""]","[""200-210 150-156"",""100-110 100-108"",""170-176 124-134"",""84-92 84-92"",""神域の大剣の特性"",""威力会心率上昇（光地金）""]"
"オートクレール","武器","両手剣","96","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_o-tokure-ru.html","[[""80-88"",""80-88""],[""200-210"",""150-156""],[""150-156"",""104-114""],[""80-88"",""80-88""]]","[""80-88"",""80-88"",""200-210"",""150-156"",""150-156"",""104-114"",""80-88"",""80-88""]","[""80-88 80-88"",""200-210 150-156"",""150-156 104-114"",""80-88 80-88"",""オートクレールの特性"",""集中力変化（虹）""]"
"聖大剣アスカロン","武器","両手剣","93","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_seitaikenasukaron.html","[[""130-142"",""150-156""],[""130-142"",""150-156""],[""102-108"",""80-88""],[""102-108"",""80-88""]]","[""130-142"",""150-156"",""130-142"",""150-156"",""102-108"",""80-88"",""102-108"",""80-88""]","[""130-142 150-156"",""130-142 150-156"",""102-108 80-88"",""102-108 80-88"",""聖大剣アスカロンの特性"",""たたき変化（倍半）""]"
"フューリーブレード","武器","両手剣","90","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_fyu-ri-bure-do.html","[[""142-148"",""142-148""],[""110-122"",""110-122""],[""96-102"",""96-102""],[""72-80"",""72-80""]]","[""142-148"",""142-148"",""110-122"",""110-122"",""96-102"",""96-102"",""72-80"",""72-80""]","[""142-148 142-148"",""110-122 110-122"",""96-102 96-102"",""72-80 72-80"",""フューリーブレードの特性"",""集中力変化（虹）""]"
"スレイプニール","武器","両手剣","85","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_sureipuni-ru.html","[[""90-98"",""90-98""],[""141-153"",""141-153""],[""112-118"",""112-118""],[""75-81"",""75-81""]]","[""90-98"",""90-98"",""141-153"",""141-153"",""112-118"",""112-118"",""75-81"",""75-81""]","[""90-98 90-98"",""141-153 141-153"",""112-118 112-118"",""75-81 75-81"",""スレイプニールの特性"",""威力会心率上昇（光地金）""]"
"ケイオスブレード","武器","両手剣","80","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_keiosubure-do.html","[[""70-78"",""70-78""],[""90-100"",""120-126""],[""100-106"",""146-156""],[""80-88"",""80-88""]]","[""70-78"",""70-78"",""90-100"",""120-126"",""100-106"",""146-156"",""80-88"",""80-88""]","[""70-78 70-78"",""90-100 120-126"",""100-106 146-156"",""80-88 80-88"",""ケイオスブレードの特性"",""集中力変化（虹）""]"
"翠石の大剣","武器","両手剣","80","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_suisekinotaiken.html","[[""107-113"",""107-113""],[""125-137"",""125-137""],[""95-103"",""95-103""],[""80-86"",""80-86""]]","[""107-113"",""107-113"",""125-137"",""125-137"",""95-103"",""95-103"",""80-86"",""80-86""]","[""107-113 107-113"",""125-137 125-137"",""95-103 95-103"",""80-86 80-86"",""翠石の大剣の特性"",""たたき変化（倍半）""]"
"エンパイアブレード","武器","両手剣","75","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_empaiabure-do.html","[[""120-126"",""120-126""],[""60-68"",""60-68""],[""80-86"",""80-86""],[""108-120"",""108-120""]]","[""120-126"",""120-126"",""60-68"",""60-68"",""80-86"",""80-86"",""108-120"",""108-120""]","[""120-126 120-126"",""60-68 60-68"",""80-86 80-86"",""108-120 108-120"",""エンパイアブレードの特性"",""集中力変化（虹）""]"
"聖王の大剣","武器","両手剣","70","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_seionotaiken.html","[[""100-106"",""100-106""],[""80-88"",""80-88""],[""135-147"",""130-132""],[""60-66"",""60-66""]]","[""100-106"",""100-106"",""80-88"",""80-88"",""135-147"",""130-132"",""60-66"",""60-66""]","[""100-106 100-106"",""80-88 80-88"",""135-147 130-132"",""60-66 60-66"",""聖王の大剣の特性"",""集中力変化（虹）""]"
"フォースブレード","武器","両手剣","65","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_fo-subure-do.html","[[""104-112"",""130-136""],[""60-68"",""80-90""],[""80-90"",""60-68""],[""130-136"",""104-112""]]","[""104-112"",""130-136"",""60-68"",""80-90"",""80-90"",""60-68"",""130-136"",""104-112""]","[""104-112 130-136"",""60-68 80-90"",""80-90 60-68"",""130-136 104-112"",""フォースブレードの特性"",""たたき変化（倍半）""]"
"メタスラの大剣","武器","両手剣","60","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_metasuranotaiken.html","[[""80-86"",""80-86""],[""110-120"",""110-120""],[""65-75"",""65-75""],[""60-68"",""60-68""]]","[""80-86"",""80-86"",""110-120"",""110-120"",""65-75"",""65-75"",""60-68"",""60-68""]","[""80-86 80-86"",""110-120 110-120"",""65-75 65-75"",""60-68 60-68"",""メタスラの大剣の特性"",""集中力変化（虹）""]"
"天馬の大剣","武器","両手剣","60","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_temmanotaiken.html","[[""70-78"",""132-138""],[""100-107"",""70-80""],[""70-80"",""60-69""],[""85-93"",""85-93""]]","[""70-78"",""132-138"",""100-107"",""70-80"",""70-80"",""60-69"",""85-93"",""85-93""]","[""70-78 132-138"",""100-107 70-80"",""70-80 60-69"",""85-93 85-93"",""天馬の大剣の特性"",""集中力変化（虹）""]"
"キングブレード","武器","両手剣","50","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kingubure-do.html","[[""46-52"",""48-60""],[""48-60"",""54-62""],[""2-80"",""62-68""],[""54-62"",""72-80""]]","[""46-52"",""48-60"",""48-60"",""54-62"",""2-80"",""62-68"",""54-62"",""72-80""]","[""46-52 48-60"",""48-60 54-62"",""2-80 62-68"",""54-62 72-80"",""キングブレードの特性"",""メーター減少（戻り）""]"
"大獄剣","武器","両手剣","50","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_taigokuken.html","[[""70-78"",""70-78""],[""60-66"",""60-66""],[""100-110"",""100-110""],[""50-60"",""50-60""]]","[""70-78"",""70-78"",""60-66"",""60-66"",""100-110"",""100-110"",""50-60"",""50-60""]","[""70-78 70-78"",""60-66 60-66"",""100-110 100-110"",""50-60 50-60"",""大獄剣の特性"",""たたき変化（倍半）""]"
"プラチナブレード","武器","両手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_purachinabure-do.html","[[""35-45"",""35-45""],[""50-58"",""50-58""],[""70-76"",""70-76""],[""40-51"",""40-51""]]","[""35-45"",""35-45"",""50-58"",""50-58"",""70-76"",""70-76"",""40-51"",""40-51""]","[""35-45 35-45"",""50-58 50-58"",""70-76 70-76"",""40-51 40-51"",""プラチナブレードの特性"",""たたき変化（倍半）""]"
"デーモンバスター","武器","両手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_de-mombasuta-.html","[[""50-56"",""50-56""],[""40-50"",""40-50""],[""80-88"",""80-88""],[""36-46"",""36-46""]]","[""50-56"",""50-56"",""40-50"",""40-50"",""80-88"",""80-88"",""36-46"",""36-46""]","[""50-56 50-56"",""40-50 40-50"",""80-88 80-88"",""36-46 36-46"",""デーモンバスターの特性"",""メーター減少（戻り）""]"
"ドラゴンバスター","武器","両手剣","42","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_doragombasuta-.html","[[""40-46"",""40-46""],[""48-58"",""48-58""],[""72-80"",""72-80""],[""60-70"",""60-70""]]","[""40-46"",""40-46"",""48-58"",""48-58"",""72-80"",""72-80"",""60-70"",""60-70""]","[""40-46 40-46"",""48-58 48-58"",""72-80 72-80"",""60-70 60-70"",""ドラゴンバスターの特性"",""メーター減少（戻り）""]"
"ブラッドエッジ","武器","両手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_buraddoejji.html","[[""32-40"",""32-46""],[""48-54"",""40-52""],[""36-48"",""26-38""],[""40-52"",""48-54""]]","[""32-40"",""32-46"",""48-54"",""40-52"",""36-48"",""26-38"",""40-52"",""48-54""]","[""32-40 32-46"",""48-54 40-52"",""36-48 26-38"",""40-52 48-54"",""ブラッドエッジの特性"",""たたき変化（倍半）""]"
"クレセントエッジ","武器","両手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_kuresentoejji.html","[[""64-70"",""26-40""],[""48-58"",""30-40""],[""30-40"",""48-58""],[""26-40"",""64-70""]]","[""64-70"",""26-40"",""48-58"",""30-40"",""30-40"",""48-58"",""26-40"",""64-70""]","[""64-70 26-40"",""48-58 30-40"",""30-40 48-58"",""26-40 64-70"",""クレセントエッジの特性"",""たたき変化（倍半）""]"
"斬夜の太刀","武器","両手剣","35","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_zanyanotachi.html","[[""70-80"",""60-72""],[""48-56"",""40-48""],[""40-50"",""30-40""],[""36-46"",""36-46""]]","[""70-80"",""60-72"",""48-56"",""40-48"",""40-50"",""30-40"",""36-46"",""36-46""]","[""70-80 60-72"",""48-56 40-48"",""40-50 30-40"",""36-46 36-46"",""斬夜の太刀の特性"",""たたき変化（倍半）""]"
"はがねの大剣","武器","両手剣","28","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_haganenotaiken.html","[[""32-40"",""32-40""],[""24-36"",""24-36""],[""40-46"",""40-46""],[""26-40"",""26-40""]]","[""32-40"",""32-40"",""24-36"",""24-36"",""40-46"",""40-46"",""26-40"",""26-40""]","[""32-40 32-40"",""24-36 24-36"",""40-46 40-46"",""26-40 26-40"",""はがねの大剣の特性""]"
"退魔の太刀","武器","両手剣","28","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_taimanotachi.html","[[""48-54"",""26-38""],[""30-38"",""32-46""],[""32-46"",""30-38""],[""26-38"",""48-54""]]","[""48-54"",""26-38"",""30-38"",""32-46"",""32-46"",""30-38"",""26-38"",""48-54""]","[""48-54 26-38"",""30-38 32-46"",""32-46 30-38"",""26-38 48-54"",""退魔の太刀の特性"",""たたき変化（倍半）""]"
"シャドウエッジ","武器","両手剣","21","武器鍛冶","https://xn--10-yg4a1a3kyh.jp/../a_buki/dq10_buki_k_shadoejji.html","[[""30-38"",""30-38""],[""26-36"",""26-36""],[""30-40"",""30-40""],[""24-38"",""24-38""]]","[""30-38"",""30-38"",""26-36"",""26-36"",""30-40"",""30-40"",""24-38"",""24-38""]","[""30-38 30-38"",""26-36 26-36"",""30-40 30-40"",""24-38 24-38"",""シャドウエッジの特性""]"
